mode,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,1921,0.8868960000000010,0.4185973333333340,260537.16666666700,0.23181513333333300,0.34487805886666700,0.20571,-17.04866666666670,0.073662,101.53149333333300,0.37932666666666700,0.6533333333333330,2
1,1922,0.9385915492957750,0.4820422535211270,165469.74647887300,0.23781535211267600,0.4341948697183100,0.2407197183098590,-19.275281690140800,0.1166549295774650,100.88452112676100,0.5355492957746480,0.14084507042253500,10
1,1923,0.9572467913513520,0.5773405405405400,177942.36216216200,0.2624064864864870,0.37173272502702700,0.2274621621621620,-14.129210810810800,0.0939486486486487,114.0107297297300,0.6254924324324330,5.389189189189190,0
1,1924,0.940199860169493,0.5498940677966100,191046.70762711900,0.3443466101694910,0.5817009136440680,0.2352190677966100,-14.231343220339000,0.09208940677966100,120.68957203389800,0.6637254237288140,0.6610169491525420,10
1,1925,0.9626070503597140,0.5738633093525180,184986.92446043200,0.2785935251798560,0.4182973612230220,0.2376679856115110,-14.14641366906470,0.11191798561151100,115.5219208633090,0.6219287769784170,2.6043165467625900,5
1,1926,0.660817216981134,0.5998802612481860,156881.65747460100,0.2114670907111760,0.3330931111175620,0.2323695936139330,-18.492538461538500,0.4837036284470240,109.64803265602300,0.4369104571843250,1.4223512336719900,9
1,1927,0.9361794552845560,0.6482682926829260,184993.59837398400,0.2643213008130080,0.3913284986504070,0.16845024390243900,-14.422373983739800,0.11360959349593500,114.84652357723600,0.6597004878048780,0.8016260162601630,7
1,1928,0.9386165035685950,0.5342878667724030,214827.90642347300,0.20794779540047600,0.4948354801348140,0.17528937351308500,-17.191982553528900,0.15991149881046800,106.77226169706600,0.4957126883425850,1.5257731958762900,1
1,1929,0.6014265861344560,0.6476698529411760,168999.41281512600,0.2418007352941170,0.21520403106092500,0.2360002100840330,-16.530376050420200,0.4900007352941180,110.94835714285700,0.6365298319327730,0.3403361344537820,7
1,1930,0.936714937370057,0.5181758835758840,195150.28534303500,0.3335239189189190,0.35220592816528100,0.22131086278586300,-12.869221413721400,0.11990966735966700,109.87119438669400,0.6162376299376310,0.9267151767151770,2
